rtID,rtCharacter,rtPOS,rtKeyword,rtReading,rtLesson,rtDependencies,rtAlias
2343,幼,,young,yòu,RTH2-L35,,
2344,幽,,secluded,yōu,RTH2-L35,,
2345,濕,,wet,shī,RTH2-L35,,
2346,玄,,mysterious,xuán,RTH2-L35,,
2347,畜,,livestock,chù,RTH2-L35,,
2348,蓄,,save up,xù,RTH2-L35,,
2349,牽,,lead along,qiān,RTH2-L35,,
2350,弦,,bowstring,xián,RTH2-L35,,
2351,磁,,magnetism,cí,RTH2-L35,,
2352,滋,,nourish,zī,RTH2-L35,,
2353,慈,,kindhearted,cí,RTH2-L35,,
2354,譏,,deride,jī,RTH2-L35,,
2355,爍,,luminous,shuò,RTH2-L35,,
2356,遜,,modest,xùn,RTH2-L35,,
2357,卸,,unload,xiè,RTH2-L36,,
2358,御,,imperial,yù,RTH2-L36,,
2359,禦,,withstand,yù,RTH2-L36,,
2360,卵,,nest eggs,luǎn,RTH2-L36,,
2361,孵,v.,hatch,fū,RTH2-L36,,
2362,乳,,breast,rǔ,RTH2-L36,,
2363,浮,v.,float,fú,RTH2-L36,,
2364,俘,,captive,fú,RTH2-L36,,
2365,卿,,minister,qīng,RTH2-L36,,
2366,貿,n.,trade,mào,RTH2-L36,,
2367,榴,,pomegranate,liú,RTH2-L36,,
2368,疑,v.,doubt,yí,RTH2-L36,,
2369,礙,,obstruct,ài,RTH2-L36,,
2370,凝,,congeal,níng,RTH2-L36,,
2371,擬,,simulate,nǐ,RTH2-L36,,
2372,玲,,exquisite,líng,RTH2-L36,,
2373,鈴,,small bell,líng,RTH2-L36,,
2374,伶,,actor,líng,RTH2-L36,,
2375,嶺,,mountain range,lǐng,RTH2-L36,,
2376,桶,,bucket,tǒng,RTH2-L36,,
2377,誦,,read aloud,sòng,RTH2-L36,,
2378,湧,v.,gush,yǒng,RTH2-L36,,
2379,踴,,eagerly,yǒng,RTH2-L36,,
2380,卷,,exam paper,juàn,RTH2-L36,,
2381,圈,n.,circle,quān,RTH2-L36,,
2382,捲,,roll up,juǎn,RTH2-L36,,
2383,倦,,worn out,juàn,RTH2-L36,,
2384,範,,model,fàn,RTH2-L36,,
2385,怨,,resentment,yuàn,RTH2-L36,,
2386,宛,adj.,winding,wǎn,RTH2-L36,,
2387,腕,,wrist,wàn,RTH2-L36,,
2388,婉,,tactful,wǎn,RTH2-L36,,
2389,碗,,bowl,wǎn,RTH2-L36,,
2390,詭,,deceitful,guǐ,RTH2-L36,,
2391,跪,,kneel,guì,RTH2-L36,,
2392,輿,,popular,yú,RTH2-L36,,
2393,酬,n./v.,reward,chóu,RTH2-L37,,
2394,酌,,pour wine,zhuó,RTH2-L37,,
2395,酷,,brutal,kù,RTH2-L37,,
2396,醇,,mellow wine,chún,RTH2-L37,,
2397,醋,,vinegar,cù,RTH2-L37,,
2398,醉,,drunk,zuì,RTH2-L37,,
2399,粹,,unmixed,cuì,RTH2-L37,,
2400,翠,,emerald green,cuì,RTH2-L37,,
2401,碎,,shattered,suì,RTH2-L37,,
2402,酸,,sour,suān,RTH2-L37,,
2403,梭,n.,shuttle,suō,RTH2-L37,,
2404,峻,,lofty,jùn,RTH2-L37,,
2405,俊,,pretty,jùn,RTH2-L37,,
2406,釁,n.,quarrel,xìn,RTH2-L37,,
2407,醬,,thick sauce,jiàng,RTH2-L37,,
2408,猶,,just like,yóu,RTH2-L37,,
2409,奠,v.,found,diàn,RTH2-L37,,
2410,蹲,v.,squat,dūn,RTH2-L37,,
2411,逗,v.,tease,dòu,RTH2-L37,,
2412,豈,,(rhetorical question),qǐ,RTH2-L37,,
2413,凱,,triumphant,kǎi,RTH2-L37,,
2414,豎,,perpendicular,shù,RTH2-L37,,
2415,嘉,,commend,jiā,RTH2-L37,,
2416,嘻,,giggling,xī,RTH2-L37,,
2417,盟,,alliance,méng,RTH2-L37,,
2418,孟,,Mencius,mèng,RTH2-L37,,
2419,猛,,fierce,měng,RTH2-L37,,
2420,盛,,flourishing,shèng,RTH2-L37,,
2421,盞,,small cup,zhǎn,RTH2-L37,,
2422,盒,,small box,hé,RTH2-L37,,
2423,盜,,master thief,dào,RTH2-L37,,
2424,盪,v.,swing,dàng,RTH2-L37,,
2425,寧,adj.,calm,níng,RTH2-L37,,
2426,盈,,replete,yíng,RTH2-L37,,
2427,盆,,basin,pén,RTH2-L37,,
2428,盃,,trophy,bēi,RTH2-L37,,
2429,蘊,,amass,yùn,RTH2-L37,,
2430,濫,,indiscriminate,làn,RTH2-L37,,
2431,鑑,v.,probe,jiàn,RTH2-L37,,
2432,尷,,abashed,gān,RTH2-L37,,
2433,尬,,embarrassed,gà,RTH2-L37,,
2434,拋,v.,toss,pāo,RTH2-L37,,
2435,耽,,indulge in,dān,RTH2-L37,,
2436,枕,,pillow,zhěn,RTH2-L37,,
2437,覽,v.,view,lǎn,RTH2-L37,,
2438,攬,,take on,lǎn,RTH2-L37,,
2439,纜,n.,cable,lǎn,RTH2-L37,,
2440,狠,,ruthless,hěn,RTH2-L37,,
2441,恨,v.,hate,hèn,RTH2-L37,,
2442,爵,,upper crust,jué,RTH2-L37,,
2443,嚼,v.,chew,jiáo,RTH2-L37,,
2444,懇,,wholeheartedly,kěn,RTH2-L37,,
2445,墾,,reclaim,kěn,RTH2-L37,,
2446,豹,,leopard,bào,RTH2-L37,,
2447,貓,,cat,māo,RTH2-L37,,
2448,貌,,mien,mào,RTH2-L37,,
2449,朗,,lucent,lǎng,RTH2-L37,,
2450,狼,,wolf,láng,RTH2-L37,,
2451,飢,,starving,jī,RTH2-L37,,
2452,饒,v.,spare,ráo,RTH2-L37,,
2453,飾,,ornaments,shì,RTH2-L37,,
2454,飲,,beverage,yǐn,RTH2-L37,,
2455,蝕,,eat away,shí,RTH2-L37,,
2456,飽,,sated,bǎo,RTH2-L37,,
2457,饅,,bread,mán,RTH2-L37,,
2458,餅,,cookie,bǐng,RTH2-L37,,
2459,餃,,dumpling,jiǎo,RTH2-L37,,
2460,餓,,hungry,è,RTH2-L37,,
2461,潛,,submerge,qián,RTH2-L37,,
2462,蠶,,silkworm,cán,RTH2-L37,,
2463,溉,,irrigate,gài,RTH2-L37,,
2464,慨,,incensed,kǎi,RTH2-L37,,
2465,萍,,duckweed,píng,RTH2-L38,,
2466,秤,n.,scale,chèng,RTH2-L38,,
2467,淆,,confuse,xiáo,RTH2-L38,,
2468,艾,,Chinese mugwort,ài,RTH2-L38,,
2469,哎,,Good grief!,āi,RTH2-L38,,
2470,拔,,pull out,bá,RTH2-L38,,
2471,攀,v.,climb,pān,RTH2-L38,,
2472,屯,v.,stockpile,tún,RTH2-L38,,
2473,頓,n./v.,pause,dùn,RTH2-L38,,
2474,噸,,ton,dūn,RTH2-L38,,
2475,純,,unadulterated,chún,RTH2-L38,,
2476,屆,,fall due,jiè,RTH2-L38,,
2477,齒,,teeth,chǐ,RTH2-L38,,
2478,齣,,shows,chū,RTH2-L38,,
2479,齡,,length of service,líng,RTH2-L38,,
2480,洶,,turbulent,xiōng,RTH2-L38,,
2481,籬,,fence,lí,RTH2-L38,,
2482,辜,,crime,gū,RTH2-L38,,
2483,宰,v.,butcher,zǎi,RTH2-L38,,
2484,辨,,differentiate,biàn,RTH2-L38,,
2485,辮,n.,braid,biàn,RTH2-L38,,
2486,臂,n.,arm,bì,RTH2-L38,,
2487,劈,v.,split,pǐ,RTH2-L38,,
2488,譬,,analogy,pì,RTH2-L38,,
2489,僻,,out-of-the-way,pì,RTH2-L38,,
2490,譯,,translate,yì,RTH2-L38,,
2491,擇,v.,select,zé,RTH2-L38,,
2492,澤,n.,swamp,zé,RTH2-L38,,
2493,墊,n./v.,pad,diàn,RTH2-L38,,
2494,摯,,earnest,zhì,RTH2-L38,,
2495,糾,,entangle,jiū,RTH2-L38,,
2496,凌,v.,bully,líng,RTH2-L38,,
2497,菱,,water caltrop,líng,RTH2-L38,,
2498,陵,,mausoleum,líng,RTH2-L38,,
2499,咳,v.,cough,ké,RTH2-L38,,
2500,剎,v.,brake,shā,RTH2-L38,,
2501,嚷,,cry out,rǎng,RTH2-L38,,
2502,釀,v.,brew,niàng,RTH2-L38,,
2503,塞,,stronghold,sài,RTH2-L38,,
2504,寨,,stockade,zhài,RTH2-L38,,
2505,憲,,constitution,xiàn,RTH2-L39,,
2506,晴,,sunny,qíng,RTH2-L39,,
2507,猜,,guess,cāi,RTH2-L39,,
2508,靖,,pacify,jìng,RTH2-L39,,
2509,債,,debt,zhài,RTH2-L39,,
2510,蹟,,remains,jī,RTH2-L39,,
2511,牲,,domestic animal,shēng,RTH2-L39,,
2512,隆,,impressive,lóng,RTH2-L39,,
2513,腥,,fishy smell,xīng,RTH2-L39,,
2514,猩,,orangutan,xīng,RTH2-L39,,
2515,醒,,awaken,xǐng,RTH2-L39,,
2516,瞎,,visionless,xiā,RTH2-L39,,
2517,轄,,administer,xiá,RTH2-L39,,
2518,契,n.,contract,qì,RTH2-L39,,
2519,拜,,adore,bài,RTH2-L39,,
2520,潔,,spotless,jié,RTH2-L39,,
2521,蜂,,bee,fēng,RTH2-L39,,
2522,峰,n.,peak,fēng,RTH2-L39,,
2523,鋒,,cutting edge,fēng,RTH2-L39,,
2524,逢,,chance upon,féng,RTH2-L39,,
2525,蓬,,disheveled,péng,RTH2-L39,,
2526,縫,,sew,féng,RTH2-L39,,
2527,奏,,play an instrument,zòu,RTH2-L39,,
2528,湊,,gather together,còu,RTH2-L39,,
2529,秦,,Qin,qín,RTH2-L39,,
2530,蠢,,foolish,chǔn,RTH2-L39,,
2531,捧,,carry in both hands,pěng,RTH2-L39,,
2532,嘆,v.,sigh,tàn,RTH2-L39,,
2533,艱,,arduous,jiān,RTH2-L39,,
2534,灘,n.,beach,tān,RTH2-L39,,
2535,畢,v.,complete,bì,RTH2-L39,,
2536,唾,,saliva,tuò,RTH2-L39,,
2537,吟,,recite,yín,RTH2-L40,,
2538,貪,,greedy,tān,RTH2-L40,,
2539,琴,,stringed instrument,qín,RTH2-L40,,
2540,栗,,chestnut,lì,RTH2-L40,,
2541,潭,,deep pool,tán,RTH2-L40,,
2542,遷,,resituate,qiān,RTH2-L40,,
2543,覆,,overturn,fù,RTH2-L40,,
2544,飄,v.,flutter,piāo,RTH2-L40,,
2545,闆,n.,boss,bǎn,RTH2-L41,,
2546,闊,,broad,kuò,RTH2-L41,,
2547,閉,v.,close,bì,RTH2-L41,,
2548,潤,,moisten,rùn,RTH2-L41,,
2549,閣,,cabinet,gé,RTH2-L41,,
2550,擱,,put aside,gē,RTH2-L41,,
2551,闡,,explicate,chǎn,RTH2-L41,,
2552,閱,,peruse,yuè,RTH2-L41,,
2553,悶,,stuffy,mēn,RTH2-L41,,
2554,閃,v.,flash,shǎn,RTH2-L41,,
2555,閥,,valve,fá,RTH2-L41,,
2556,閘,,floodgate,zhá,RTH2-L41,,
2557,闢,,repudiate,pì,RTH2-L41,,
2558,蒼,,ash-colored,cāng,RTH2-L41,,
2559,搶,,rob,qiǎng,RTH2-L41,,
2560,菲,adj.,humble,fēi,RTH2-L41,,
2561,輩,,lifetime,bèi,RTH2-L41,,
2562,悲,,sad,bēi,RTH2-L41,,
2563,徘,,irresolute,pái,RTH2-L41,,
2564,殲,,annihilate,jiān,RTH2-L41,,
2565,籤,v.,bamboo slip,qiān,RTH2-L41,,
2566,纖,,fiber,xiān,RTH2-L41,,
2567,喉,,gullet,hóu,RTH2-L41,,
2568,猴,,monkey,hóu,RTH2-L41,,
2569,韓,,Korea,hán,RTH2-L41,,
2570,違,,disobey,wéi,RTH2-L41,,
2571,緯,,latitude,wěi,RTH2-L41,,
2572,竿,,pole,gān,RTH2-L42,,
2573,罕,,rarely,hǎn,RTH2-L42,,
2574,軒,,veranda,xuān,RTH2-L42,,
2575,肝,,liver,gān,RTH2-L42,,
2576,刊,,publication,kān,RTH2-L42,,
2577,汗,n.,sweat,hàn,RTH2-L42,,
2578,桿,,shaft,gǎn,RTH2-L42,,
2579,悍,,bold,hàn,RTH2-L42,,
2580,徐,,slowly,xú,RTH2-L42,,
2581,敘,v.,recount,xù,RTH2-L42,,
2582,塗,v.,smear,tú,RTH2-L42,,
2583,斜,,slanting,xié,RTH2-L42,,
2584,喇,,flared horn,lǎ,RTH2-L42,,
2585,嗽,v.,hack,sòu,RTH2-L42,,
2586,賴,,rely on,lài,RTH2-L42,,
2587,懶,,lazy,lǎn,RTH2-L42,,
2588,嫩,adj.,tender,nèn,RTH2-L42,,
2589,煉,,refine,liàn,RTH2-L42,,
2590,鍊,n.,chain,liàn,RTH2-L42,,
2591,腫,,swollen,zhǒng,RTH2-L42,,
2592,董,,director,dǒng,RTH2-L42,,
2593,鍾,,draw together,zhōng,RTH2-L42,,
2594,痰,,phlegm,tán,RTH2-L43,,
2595,症,,disease,zhèng,RTH2-L43,,
2596,疼,v.,hurt,téng,RTH2-L43,,
2597,癒,,get well,yǔ,RTH2-L43,,
2598,疫,,epidemic,yì,RTH2-L43,,
2599,癌,,cancer,ái,RTH2-L43,,
2600,疲,,fatigued,pí,RTH2-L43,,
2601,疾,,rapid,jí,RTH2-L43,,
2602,痴,,idiotic,chī,RTH2-L43,,
2603,瘤,,tumor,liú,RTH2-L43,,
2604,痕,n.,trace,hén,RTH2-L43,,
2605,癢,v.,itch,yǎng,RTH2-L43,,
2606,癱,,paralysis,tān,RTH2-L43,,
2607,瘡,n.,sore,chuāng,RTH2-L43,,
2608,穩,adj.,stable,wěn,RTH2-L43,,
2609,隱,,hidden,yǐn,RTH2-L43,,
2610,癮,,addiction,yǐn,RTH2-L43,,
2611,巨,,gigantic,jù,RTH2-L43,,
2612,渠,,canal,qú,RTH2-L43,,
2613,拒,v.,refuse,jù,RTH2-L43,,
2614,矩,n.,square,jǔ,RTH2-L43,,
2615,距,,distance,jù,RTH2-L43,,
2616,框,,rectangular frame,kuàng,RTH2-L43,,
2617,筐,,rectangular basket,kuāng,RTH2-L43,,
2618,砸,v.,smash,zá,RTH2-L43,,
2619,匯,,converge,huì,RTH2-L43,,
2620,匠,,artisan,jiàng,RTH2-L43,,
2621,匪,,bandit,fěi,RTH2-L43,,
2622,匿,,keep out of sight,nì,RTH2-L43,,
2623,兜,,pocket,dōu,RTH2-L43,,
2624,嘔,v.,vomit,ǒu,RTH2-L43,,
2625,毆,v.,hit,ōu,RTH2-L43,,
2626,軀,,human body,qū,RTH2-L43,,
2627,昂,,hold one's head high,áng,RTH2-L43,,
2628,抑,v.,curb,yì,RTH2-L43,,
2629,葵,,large-flowered plants,kuí,RTH2-L43,,
2630,僚,,coworker,liáo,RTH2-L43,,
2631,遼,,far away,liáo,RTH2-L43,,
2632,瞭,,comprehend,liào,RTH2-L43,,
2633,療,v.,cure,liáo,RTH2-L43,,
2634,瞪,v.,glare,dèng,RTH2-L43,,
2635,凳,,bench,dèng,RTH2-L43,,
2636,澄,,transparent,chéng,RTH2-L43,,
2637,潑,v.,splash,pō,RTH2-L43,,
2638,撥,,allocate,bō,RTH2-L43,,
2639,杉,,fir tree,shān,RTH2-L44,,
2640,彬,,well-mannered,bīn,RTH2-L44,,
2641,衫,,shirt,shān,RTH2-L44,,
2642,彰,adj.,manifest,zhāng,RTH2-L44,,
2643,膨,,puffy,péng,RTH2-L44,,
2644,趁,,take advantage of,chèn,RTH2-L44,,
2645,診,,diagnose,zhěn,RTH2-L44,,
2646,滲,,seep,shèn,RTH2-L44,,
2647,膠,,gum,jiāo,RTH2-L44,,
2648,謬,adj.,wrong,miù,RTH2-L44,,
2649,寥,,deserted,liáo,RTH2-L44,,
2650,斑,,speck,bān,RTH2-L44,,
2651,紋,n.,design,wén,RTH2-L44,,
2652,鏟,,small shovel,chǎn,RTH2-L44,,
2653,薩,,Samoa,sà,RTH2-L44,,
2654,脊,,backbone,jǐ,RTH2-L44,,
2655,函,,letter,hán,RTH2-L44,,
2656,涵,,culvert,hán,RTH2-L44,,
2657,映,,reflect,yìng,RTH2-L44,,
2658,殃,,calamity,yāng,RTH2-L44,,
2659,肥,,plump,féi,RTH2-L44,,
2660,爬,v.,crawl,pá,RTH2-L44,,
2661,疤,n.,scar,bā,RTH2-L44,,
2662,艷,,gorgeous,yàn,RTH2-L44,,
2663,甜,,sugary,tián,RTH2-L45,,
2664,鉗,,pliers,qián,RTH2-L45,,
2665,媒,,matchmaker,méi,RTH2-L45,,
2666,煤,,coal,méi,RTH2-L45,,
2667,謀,v.,scheme,móu,RTH2-L45,,
2668,棋,,chess,qí,RTH2-L45,,
2669,欺,v.,dupe,qī,RTH2-L45,,
2670,旗,n.,flag,qí,RTH2-L45,,
2671,嘶,,hoarse,sī,RTH2-L45,,
2672,撕,v.,rip,sī,RTH2-L45,,
2673,堪,,tolerate,kān,RTH2-L45,,
2674,勘,v.,survey,kān,RTH2-L45,,
2675,遣,v.,dispatch,qiǎn,RTH2-L45,,
2676,譴,v.,censure,qiǎn,RTH2-L45,,
2677,囊,n.,sack,náng,RTH2-L45,,
2678,潰,v.,burst,kuì,RTH2-L45,,
2679,櫃,,cupboard,guì,RTH2-L45,,
2680,宜,adj.,fitting,yí,RTH2-L45,,
2681,誼,,friendship,yì,RTH2-L45,,
2682,租,n./v.,rent,zū,RTH2-L45,,
2683,粗,,coarse,cū,RTH2-L45,,
2684,阻,v.,block,zǔ,RTH2-L45,,
2685,疊,v.,heap,dié,RTH2-L45,,
2686,壘,,baseball base,lěi,RTH2-L45,,
2687,鋤,n./v.,hoe,chú,RTH2-L45,,
2688,叢,,thicket,cóng,RTH2-L46,,
2689,樸,adj.,plain,pǔ,RTH2-L46,,
2690,撲,,pounce on,pū,RTH2-L46,,
2691,僕,,servant,pú,RTH2-L46,,
2692,譜,,musical score,pǔ,RTH2-L46,,
2693,哄,v.,fool,hǒng,RTH2-L46,,
2694,洪,,deluge,hóng,RTH2-L46,,
2695,烘,,warm by a fire,hōng,RTH2-L46,,
2696,恭,,respectful,gōng,RTH2-L46,,
2697,拱,n./v.,arch,gǒng,RTH2-L46,,
2698,暴,,violent,bào,RTH2-L46,,
2699,瀑,,waterfall,pù,RTH2-L46,,
2700,爆,,explode,bào,RTH2-L46,,
2701,殿,,ceremonial hall,diàn,RTH2-L46,,
2702,戴,,have on,dài,RTH2-L46,,
2703,翼,,wings,yì,RTH2-L46,,
2704,糞,,dung,fèn,RTH2-L46,,
2705,撰,,compose,zhuàn,RTH2-L46,,
2706,啞,adj.,mute,yǎ,RTH2-L47,,
2707,壺,,kettle,hú,RTH2-L47,,
2708,蟹,n.,crab,xiè,RTH2-L47,,
2709,懈,,lax,xiè,RTH2-L47,,
2710,購,v.,purchase,gòu,RTH2-L47,,
2711,溝,n.,ditch,gōu,RTH2-L47,,
2712,鑰,,key,yào,RTH2-L47,,
2713,籲,,plead,yù,RTH2-L47,,
2714,冊,,Vol.,cè,RTH2-L47,,
2715,刪,,delete,shān,RTH2-L47,,
2716,柵,,palisade,zhà,RTH2-L47,,
2717,珊,,coral,shān,RTH2-L47,,
2718,遍,,everywhere,biàn,RTH2-L47,,
2719,偏,,partial,piān,RTH2-L47,,
2720,淪,v.,sink,lún,RTH2-L47,,
2721,倫,,human relationships,lún,RTH2-L47,,
2722,抵,,resist,dǐ,RTH2-L48,,
2723,氓,,hoodlum,máng,RTH2-L48,,
2724,哺,,breastfeed,bǔ,RTH2-L48,,
2725,鋪,n.,shop,pù,RTH2-L48,,
2726,輔,v.,supplement,fǔ,RTH2-L48,,
2727,捕,,capture,bǔ,RTH2-L48,,
2728,敷,,apply,fū,RTH2-L48,,
2729,浦,,river mouth,pǔ,RTH2-L48,,
2730,蒲,,cattail,pú,RTH2-L48,,
2731,薄,adj.,slight,bó,RTH2-L48,,
2732,簿,n.,register,bù,RTH2-L48,,
2733,傅,,mentor,fù,RTH2-L48,,
2734,縛,,bind fast,fù,RTH2-L48,,
2735,郭,,outer walls,guō,RTH2-L48,,
2736,廓,,limitless,kuò,RTH2-L48,,
2737,鄙,,despicable,bǐ,RTH2-L48,,
2738,耶,,Jerusalem,Yē,RTH2-L48,,
2739,爺,,grandfather,yé,RTH2-L48,,
2740,郊,,outskirts,jiāo,RTH2-L48,,
2741,邦,,nation,bāng,RTH2-L48,,
2742,綁,v.,truss,bǎng,RTH2-L48,,
2743,郵,v.,post,yóu,RTH2-L48,,
2744,鄧,,Deng,dèng,RTH2-L48,,
2745,擲,,hurl,zhì,RTH2-L48,,
2746,廊,,hallway,láng,RTH2-L48,,
2747,擁,v.,hug,yōng,RTH2-L48,,
2748,緞,,satin,duàn,RTH2-L49,,
2749,刁,,wily,diāo,RTH2-L49,,
2750,叼,,hold in the mouth,diāo,RTH2-L49,,
2751,殷,,ardent,yīn,RTH2-L49,,
2752,壽,,longevity,shòu,RTH2-L49,,
2753,濤,,large waves,tāo,RTH2-L49,,
2754,鑄,v.,cast,zhù,RTH2-L49,,
2755,禱,,pray,dǎo,RTH2-L49,,
2756,籌,,make arrangements,chóu,RTH2-L49,,
2757,伺,,attend to,sì,RTH2-L49,,
2758,飼,v.,rear,sì,RTH2-L49,,
2759,舶,,liner,bó,RTH2-L49,,
2760,航,,navigate,háng,RTH2-L49,,
2761,艇,,light boat,tǐng,RTH2-L49,,
2762,艦,,warship,jiàn,RTH2-L49,,
2763,艙,,ship's cabin,cāng,RTH2-L49,,
2764,沿,prep.,along,yán,RTH2-L49,,
2765,鉛,n.,lead,qiān,RTH2-L49,,
2766,狐,,fox,hú,RTH2-L49,,
2767,瓣,,petal,bàn,RTH2-L49,,
2768,溢,,brim over,yì,RTH2-L50,,
2769,暇,,spare time,xiá,RTH2-L50,,
2770,霞,,red sky,xiá,RTH2-L50,,
2771,氧,,oxygen,yǎng,RTH2-L50,,
2772,氛,,atmosphere,fēn,RTH2-L50,,
2773,氯,,chlorine,lǜ,RTH2-L50,,
2774,氫,,hydrogen,qīng,RTH2-L50,,
2775,鞏,,strengthen,gǒng,RTH2-L50,,
2776,霸,,tyrant,bà,RTH2-L50,,
2777,壩,n.,dam,bà,RTH2-L50,,
2778,勒,,tighten,lēi,RTH2-L50,,
2779,鞠,,bow respectfully,jū,RTH2-L50,,
2780,靴,,boots,xuē,RTH2-L50,,
2781,鞭,n./v.,whip,biān,RTH2-L50,,
2782,芽,n.,sprout,yá,RTH2-L51,,
2783,訝,,surprised,yà,RTH2-L51,,
2784,撐,,prop up,chēng,RTH2-L51,,
2785,雅,,polished,yǎ,RTH2-L51,,
2786,邪,,wicked,xié,RTH2-L51,,
2787,奧,,of great depth,ào,RTH2-L51,,
2788,澳,,deep inlet,ào,RTH2-L51,,
2789,懊,,remorseful,ào,RTH2-L51,,
2790,悉,,be informed,xī,RTH2-L51,,
2791,竊,,pilfer,qiè,RTH2-L51,,
2792,審,,painstaking,shěn,RTH2-L51,,
2793,嬸,,auntie,shěn,RTH2-L51,,
2794,毯,n.,blanket,tǎn,RTH2-L51,,
2795,毫,,milli-,háo,RTH2-L51,,
2796,耗,,consume,hào,RTH2-L51,,
2797,耕,v.,till,gēng,RTH2-L51,,
2798,籍,,records,jí,RTH2-L51,,
2799,藉,n.,excuse,jiè,RTH2-L51,,
2800,托,,hold up,tuō,RTH2-L51,,
2801,畏,,be afraid of,wèi,RTH2-L51,,
2802,喂,,Hello...,wèi,RTH2-L51,,
2803,脹,,bloated,zhàng,RTH2-L51,,
2804,帳,,tent,zhàng,RTH2-L51,,
2805,肆,,IV,sì,RTH2-L51,,
2806,鬍,,beard,hú,RTH2-L51,,
2807,鬆,,loose,sōng,RTH2-L51,,
2808,鵬,,roc,péng,RTH2-L52,,
2809,鳴,v.,twitter,míng,RTH2-L52,,
2810,鴻,,swan,hóng,RTH2-L52,,
2811,鴿,,pigeon,gē,RTH2-L52,,
2812,鶴,,crane,hè,RTH2-L52,,
2813,鶯,,oriole,yīng,RTH2-L52,,
2814,鵲,,magpie,què,RTH2-L52,,
2815,鷗,,gull,ōu,RTH2-L52,,
2816,鴉,,raven,yā,RTH2-L52,,
2817,鵝,,goose,é,RTH2-L52,,
2818,烏,,crow,wū,RTH2-L52,,
2819,嗚,,zoom-zoom,wū,RTH2-L52,,
2820,搗,,pound with a pestle,dǎo,RTH2-L52,,
2821,寓,,residence,yù,RTH2-L52,,
2822,愚,,pea-brained,yú,RTH2-L52,,
2823,偶,,by chance,ǒu,RTH2-L52,,
2824,厲,,stern,lì,RTH2-L52,,
2825,勵,,encourage,lì,RTH2-L52,,
2826,鋼,,steel,gāng,RTH2-L52,,
2827,崗,,hillock,gǎng,RTH2-L52,,
2828,綱,,guidelines,gāng,RTH2-L52,,
2829,逆,,go against,nì,RTH2-L52,,
2830,溯,,go upstream,sù,RTH2-L52,,
2831,塑,n.,plastic,sù,RTH2-L52,,
2832,缸,,vat,gāng,RTH2-L52,,
2833,罐,,jar,guàn,RTH2-L52,,
2834,鬱,,depressed,yù,RTH2-L52,,
2835,鹽,n.,salt,yán,RTH2-L52,,
2836,鹹,,salty,xián,RTH2-L52,,
2837,掏,,draw out,tāo,RTH2-L52,,
2838,淘,,wash in a container,táo,RTH2-L52,,
2839,陶,,pottery,táo,RTH2-L52,,
2840,謠,,rumor,yáo,RTH2-L52,,
2841,冤,,injustice,yuān,RTH2-L52,,
2842,饞,,gluttonous,chán,RTH2-L52,,
2843,挽,v.,tow,wǎn,RTH2-L52,,
2844,勉,,strive,miǎn,RTH2-L52,,
2845,橡,,rubber tree,xiàng,RTH2-L52,,
2846,豫,,pleased,yù,RTH2-L52,,
2847,騰,,take flight,téng,RTH2-L53,,
2848,碼,,numeral,mǎ,RTH2-L53,,
2849,馴,adj./v.,tame,xùn,RTH2-L53,,
2850,瑪,,Mary,mǎ,RTH2-L53,,
2851,駐,,be stationed,zhù,RTH2-L53,,
2852,驕,,arrogant,jiāo,RTH2-L53,,
2853,馳,v.,gallop,chí,RTH2-L53,,
2854,螞,,leech-hopper,mà,RTH2-L53,,
2855,憑,,proof,píng,RTH2-L53,,
2856,駛,v.,maneuver,shǐ,RTH2-L53,,
2857,騷,,disturb,sāo,RTH2-L53,,
2858,駕,v.,drive,jià,RTH2-L53,,
2859,騾,,mule,luó,RTH2-L53,,
2860,駁,,refute,bó,RTH2-L53,,
2861,闖,v.,rush,chuǎng,RTH2-L53,,
2862,驅,,drive away,qū,RTH2-L53,,
2863,騙,v.,cheat,piàn,RTH2-L53,,
2864,驟,v.,trot,zhòu,RTH2-L53,,
2865,遞,,hand over,dì,RTH2-L53,,
2866,虜,,take captive,lǔ,RTH2-L53,,
2867,虐,,despotic,nüè,RTH2-L53,,
2868,膚,n.,skin,fū,RTH2-L53,,
2869,盧,,Louvre,lú,RTH2-L53,,
2870,爐,,stove,lú,RTH2-L53,,
2871,蘆,,reeds,lú,RTH2-L53,,
2872,驢,,donkey,lǘ,RTH2-L53,,
2873,虧,,loss,kuī,RTH2-L53,,
2874,污,,filthy,wū,RTH2-L53,,
2875,愕,,stunned,è,RTH2-L53,,
2876,誇,,brag,kuā,RTH2-L53,,
2877,垮,v.,collapse,kuǎ,RTH2-L53,,
2878,跨,v.,straddle,kuà,RTH2-L53,,
2879,獻,,donate,xiàn,RTH2-L53,,
2880,融,,melt,róng,RTH2-L53,,
2881,隔,v.,separate,gé,RTH2-L53,,
2882,濾,v.,filter,lǜ,RTH2-L53,,
2883,慶,,celebrate,qìng,RTH2-L53,,
2884,薦,,recommend,jiàn,RTH2-L53,,
2885,傑,,outstanding,jié,RTH2-L53,,
2886,瞬,,instant,shùn,RTH2-L53,,
2887,麟,,Chinese unicorn,lín,RTH2-L53,,
2888,憐,v.,pity,lián,RTH2-L53,,
2889,鄰,,neighbor,lín,RTH2-L53,,
2890,曬,,bask,shài,RTH2-L53,,
2891,灑,v.,spill,sǎ,RTH2-L53,,
2892,罷,,cease,bà,RTH2-L53,,
